data;codvendedor;vendedor;codfornec;fornecedor;meta_valor;meta_positivacao
2025-05-01;6;Gabriel Barbosa Rocha;396;QUEIJO;82719.57;29
2025-05-01;6;Gabriel Barbosa Rocha;540;IOG;164306.14;14
2025-05-01;6;Gabriel Barbosa Rocha;449;BRINQUEDOS;52328.86;49
2025-05-01;6;Gabriel Barbosa Rocha;406;NUMBERONE;299613.61;16
2025-05-01;6;Gabriel Barbosa Rocha;467;BARRAS;68315.18;23
2025-05-01;6;Gabriel Barbosa Rocha;457;PAÇOCA;176471.17;18
2025-05-01;6;Gabriel Barbosa Rocha;456;BALA;283314.84;14
2025-05-01;6;Gabriel Barbosa Rocha;450;PANINIS;269817.56;33
2025-05-01;6;Gabriel Barbosa Rocha;642;QUEIJINHOS;121246.85;38
2025-05-01;6;Gabriel Barbosa Rocha;681;LEITECONDENSADO;258436.24;29
2025-05-01;7;Helena Martins Dias;1;PANE;202919.44;43
2025-05-01;7;Helena Martins Dias;396;QUEIJO;51955.78;45
2025-05-01;7;Helena Martins Dias;540;IOG;124844.69;16
2025-05-01;7;Helena Martins Dias;449;BRINQUEDOS;284732.5;18
2025-05-01;7;Helena Martins Dias;406;NUMBERONE;116116.48;16
2025-05-01;7;Helena Martins Dias;467;BARRAS;235604.17;19
2025-05-01;7;Helena Martins Dias;457;PAÇOCA;118087.05;48
2025-05-01;7;Helena Martins Dias;456;BALA;102657.41;31
2025-05-01;7;Helena Martins Dias;450;PANINIS;100899.33;50
2025-05-01;7;Helena Martins Dias;642;QUEIJINHOS;263228.2;42
2025-05-01;7;Helena Martins Dias;681;LEITECONDENSADO;172132.96;13
2025-05-01;8;Igor Pereira Gomes;1;PANE;73074.62;37
2025-05-01;8;Igor Pereira Gomes;396;QUEIJO;257337.02;12
2025-05-01;8;Igor Pereira Gomes;540;IOG;50886.42;18
2025-05-01;8;Igor Pereira Gomes;449;BRINQUEDOS;209278.34;26
2025-05-01;8;Igor Pereira Gomes;406;NUMBERONE;90395.49;38
2025-05-01;8;Igor Pereira Gomes;467;BARRAS;187920.11;37
2025-05-01;8;Igor Pereira Gomes;457;PAÇOCA;190226.72;17
2025-05-01;8;Igor Pereira Gomes;456;BALA;68810.97;19
2025-05-01;8;Igor Pereira Gomes;450;PANINIS;186397.57;33
2025-05-01;8;Igor Pereira Gomes;642;QUEIJINHOS;195627.39;19
2025-05-01;8;Igor Pereira Gomes;681;LEITECONDENSADO;157446.68;12
2025-05-01;9;Julia Carvalho Ribeiro;1;PANE;127064.59;12
2025-05-01;9;Julia Carvalho Ribeiro;396;QUEIJO;274731.16;23
2025-05-01;9;Julia Carvalho Ribeiro;540;IOG;220516.67;16
2025-05-01;9;Julia Carvalho Ribeiro;449;BRINQUEDOS;138419.66;45
2025-05-01;9;Julia Carvalho Ribeiro;406;NUMBERONE;271033.68;36
2025-05-01;9;Julia Carvalho Ribeiro;467;BARRAS;293459.26;19
2025-05-01;9;Julia Carvalho Ribeiro;457;PAÇOCA;281440.96;25
2025-05-01;9;Julia Carvalho Ribeiro;456;BALA;266151.42;21
2025-05-01;9;Julia Carvalho Ribeiro;450;PANINIS;270354.05;11
2025-05-01;9;Julia Carvalho Ribeiro;642;QUEIJINHOS;94840.17;31
2025-05-01;9;Julia Carvalho Ribeiro;681;LEITECONDENSADO;245596.62;36
2025-05-01;10;Lucas Fernandes Teixeira;1;PANE;250558.78;25
2025-05-01;10;Lucas Fernandes Teixeira;396;QUEIJO;116701.43;16
2025-05-01;10;Lucas Fernandes Teixeira;540;IOG;145635.43;12
2025-05-01;10;Lucas Fernandes Teixeira;449;BRINQUEDOS;264648.31;24
2025-05-01;10;Lucas Fernandes Teixeira;406;NUMBERONE;99893.21;39
2025-05-01;10;Lucas Fernandes Teixeira;467;BARRAS;137414.61;24
2025-05-01;10;Lucas Fernandes Teixeira;457;PAÇOCA;105730.89;22
2025-05-01;10;Lucas Fernandes Teixeira;456;BALA;149616.49;27
2025-05-01;10;Lucas Fernandes Teixeira;450;PANINIS;266088.24;27
2025-05-01;10;Lucas Fernandes Teixeira;642;QUEIJINHOS;137786.53;42
2025-05-01;10;Lucas Fernandes Teixeira;681;LEITECONDENSADO;149919.6;44
2025-05-01;11;Mariana Campos Araujo;1;PANE;132787.47;11
2025-05-01;11;Mariana Campos Araujo;396;QUEIJO;78835.44;26
2025-05-01;11;Mariana Campos Araujo;540;IOG;94641.95;26
2025-05-01;11;Mariana Campos Araujo;449;BRINQUEDOS;59564.3;48
2025-05-01;11;Mariana Campos Araujo;406;NUMBERONE;158640.94;30
2025-05-01;11;Mariana Campos Araujo;467;BARRAS;159098.47;42
2025-05-01;11;Mariana Campos Araujo;457;PAÇOCA;78911.45;46
2025-05-01;11;Mariana Campos Araujo;456;BALA;97519.69;12
2025-05-01;11;Mariana Campos Araujo;450;PANINIS;227196.32;10
2025-05-01;11;Mariana Campos Araujo;642;QUEIJINHOS;179980.09;44
2025-05-01;11;Mariana Campos Araujo;681;LEITECONDENSADO;221714.29;22
2025-05-01;12;Nicolas Moreira Lopes;1;PANE;141055.37;14
2025-05-01;12;Nicolas Moreira Lopes;396;QUEIJO;287218.62;31
2025-05-01;12;Nicolas Moreira Lopes;540;IOG;205788.85;17
2025-05-01;12;Nicolas Moreira Lopes;449;BRINQUEDOS;229938.57;29
2025-05-01;12;Nicolas Moreira Lopes;406;NUMBERONE;176780.63;36
2025-05-01;12;Nicolas Moreira Lopes;467;BARRAS;131545.73;28
2025-05-01;12;Nicolas Moreira Lopes;457;PAÇOCA;188603.12;22
2025-05-01;12;Nicolas Moreira Lopes;456;BALA;155111.58;34
2025-05-01;12;Nicolas Moreira Lopes;450;PANINIS;219329.49;21
2025-05-01;12;Nicolas Moreira Lopes;642;QUEIJINHOS;203878.73;29
2025-05-01;12;Nicolas Moreira Lopes;681;LEITECONDENSADO;151518.79;10
2025-05-01;13;Patricia Azevedo Castro;1;PANE;125968.74;23
2025-05-01;13;Patricia Azevedo Castro;396;QUEIJO;157472.04;47
2025-05-01;13;Patricia Azevedo Castro;540;IOG;201665.39;30
2025-05-01;13;Patricia Azevedo Castro;449;BRINQUEDOS;166247.05;38
2025-05-01;13;Patricia Azevedo Castro;406;NUMBERONE;218906.81;42
2025-05-01;13;Patricia Azevedo Castro;467;BARRAS;168296.55;20
2025-05-01;13;Patricia Azevedo Castro;457;PAÇOCA;214712.69;28
2025-05-01;13;Patricia Azevedo Castro;456;BALA;178863.0;50
2025-05-01;13;Patricia Azevedo Castro;450;PANINIS;204815.2;15
2025-05-01;13;Patricia Azevedo Castro;642;QUEIJINHOS;254605.87;25
2025-05-01;13;Patricia Azevedo Castro;681;LEITECONDENSADO;218198.92;24
2025-05-01;14;Rafael Monteiro Cardoso;1;PANE;251640.72;19
2025-05-01;14;Rafael Monteiro Cardoso;396;QUEIJO;56106.35;25
2025-05-01;14;Rafael Monteiro Cardoso;540;IOG;295984.01;49
2025-05-01;14;Rafael Monteiro Cardoso;449;BRINQUEDOS;262434.42;14
2025-05-01;14;Rafael Monteiro Cardoso;406;NUMBERONE;163854.04;50
2025-05-01;14;Rafael Monteiro Cardoso;467;BARRAS;193917.72;34
2025-05-01;14;Rafael Monteiro Cardoso;457;PAÇOCA;173594.29;25
2025-05-01;14;Rafael Monteiro Cardoso;456;BALA;86892.84;10
2025-05-01;14;Rafael Monteiro Cardoso;450;PANINIS;273164.96;16
2025-05-01;14;Rafael Monteiro Cardoso;642;QUEIJINHOS;244605.1;24
2025-05-01;14;Rafael Monteiro Cardoso;681;LEITECONDENSADO;93971.67;43
2025-05-01;15;Sandra Vieira Nunes;1;PANE;166137.47;45
2025-05-01;15;Sandra Vieira Nunes;396;QUEIJO;112299.57;17
2025-05-01;15;Sandra Vieira Nunes;540;IOG;164115.46;39
2025-05-01;15;Sandra Vieira Nunes;449;BRINQUEDOS;216894.43;45
2025-05-01;15;Sandra Vieira Nunes;406;NUMBERONE;198863.08;38
2025-05-01;15;Sandra Vieira Nunes;467;BARRAS;203163.08;42
2025-05-01;15;Sandra Vieira Nunes;457;PAÇOCA;156685.19;45
2025-05-01;15;Sandra Vieira Nunes;456;BALA;161478.4;20
2025-05-01;15;Sandra Vieira Nunes;450;PANINIS;235913.86;40
2025-05-01;15;Sandra Vieira Nunes;642;QUEIJINHOS;162517.44;25
2025-05-01;15;Sandra Vieira Nunes;681;LEITECONDENSADO;259965.72;27
2025-05-01;16;Thiago Correia Pinto;1;PANE;241453.42;43
2025-05-01;16;Thiago Correia Pinto;396;QUEIJO;171149.25;25
2025-05-01;16;Thiago Correia Pinto;540;IOG;118649.36;14
2025-05-01;16;Thiago Correia Pinto;449;BRINQUEDOS;228386.22;25
2025-05-01;16;Thiago Correia Pinto;406;NUMBERONE;117928.78;30
2025-05-01;16;Thiago Correia Pinto;467;BARRAS;273256.71;15
2025-05-01;16;Thiago Correia Pinto;457;PAÇOCA;84593.52;24
2025-05-01;16;Thiago Correia Pinto;456;BALA;145758.82;19
2025-05-01;16;Thiago Correia Pinto;450;PANINIS;226604.79;14
2025-05-01;16;Thiago Correia Pinto;642;QUEIJINHOS;153716.97;31
2025-05-01;16;Thiago Correia Pinto;681;LEITECONDENSADO;185652.79;36
2025-05-01;17;Vanessa Barbosa Melo;1;PANE;65566.43;36
2025-05-01;17;Vanessa Barbosa Melo;396;QUEIJO;147369.2;47
2025-05-01;17;Vanessa Barbosa Melo;540;IOG;286515.51;11
2025-05-01;17;Vanessa Barbosa Melo;449;BRINQUEDOS;264183.01;46
2025-05-01;17;Vanessa Barbosa Melo;406;NUMBERONE;145095.26;10
2025-05-01;17;Vanessa Barbosa Melo;467;BARRAS;285685.41;29
2025-05-01;17;Vanessa Barbosa Melo;457;PAÇOCA;238368.78;36
2025-05-01;17;Vanessa Barbosa Melo;456;BALA;184555.14;44
2025-05-01;17;Vanessa Barbosa Melo;450;PANINIS;249967.04;24
2025-05-01;17;Vanessa Barbosa Melo;642;QUEIJINHOS;172057.37;27
2025-05-01;17;Vanessa Barbosa Melo;681;LEITECONDENSADO;158958.99;11
2025-05-01;18;William Santos Cruz;1;PANE;147214.3;35
2025-05-01;18;William Santos Cruz;396;QUEIJO;231045.34;39
2025-05-01;18;William Santos Cruz;540;IOG;279885.41;49
2025-05-01;18;William Santos Cruz;449;BRINQUEDOS;183530.91;35
2025-05-01;18;William Santos Cruz;406;NUMBERONE;197973.19;11
2025-05-01;18;William Santos Cruz;467;BARRAS;70986.87;37
2025-05-01;18;William Santos Cruz;457;PAÇOCA;83924.87;39
2025-05-01;18;William Santos Cruz;456;BALA;95432.26;26
2025-05-01;18;William Santos Cruz;450;PANINIS;144775.97;23
2025-05-01;18;William Santos Cruz;642;QUEIJINHOS;163674.83;31
2025-05-01;18;William Santos Cruz;681;LEITECONDENSADO;240307.43;34
2025-05-01;19;Yara Oliveira Campos;1;PANE;119564.15;36
2025-05-01;19;Yara Oliveira Campos;396;QUEIJO;113067.88;15
2025-05-01;19;Yara Oliveira Campos;540;IOG;167576.71;44
2025-05-01;19;Yara Oliveira Campos;449;BRINQUEDOS;63021.4;32
2025-05-01;19;Yara Oliveira Campos;406;NUMBERONE;106055.54;14
2025-05-01;19;Yara Oliveira Campos;467;BARRAS;245308.26;12
2025-05-01;19;Yara Oliveira Campos;457;PAÇOCA;238558.3;25
2025-05-01;19;Yara Oliveira Campos;456;BALA;99840.17;11
2025-05-01;19;Yara Oliveira Campos;450;PANINIS;205333.91;25
2025-05-01;19;Yara Oliveira Campos;642;QUEIJINHOS;81555.24;17
2025-05-01;19;Yara Oliveira Campos;681;LEITECONDENSADO;190992.4;23
2025-05-01;20;Bruno Costa Andrade;1;PANE;166258.5;26
2025-05-01;20;Bruno Costa Andrade;396;QUEIJO;241724.52;20
2025-05-01;20;Bruno Costa Andrade;540;IOG;201473.17;17
2025-05-01;20;Bruno Costa Andrade;449;BRINQUEDOS;244447.97;20
2025-05-01;20;Bruno Costa Andrade;406;NUMBERONE;291180.19;16
2025-05-01;20;Bruno Costa Andrade;467;BARRAS;194671.18;29
2025-05-01;20;Bruno Costa Andrade;457;PAÇOCA;193949.18;34
2025-05-01;20;Bruno Costa Andrade;456;BALA;149163.61;22
2025-05-01;20;Bruno Costa Andrade;450;PANINIS;68999.12;50
2025-05-01;20;Bruno Costa Andrade;642;QUEIJINHOS;110712.35;29
2025-05-01;20;Bruno Costa Andrade;681;LEITECONDENSADO;262573.31;48
2025-06-01;1;Ana Beatriz Costa;1;PANE;251381.99;46
2025-06-01;1;Ana Beatriz Costa;396;QUEIJO;245658.84;32
2025-06-01;1;Ana Beatriz Costa;540;IOG;183186.31;33
2025-06-01;1;Ana Beatriz Costa;449;BRINQUEDOS;67239.18;31
2025-06-01;1;Ana Beatriz Costa;406;NUMBERONE;53163.04;36
2025-06-01;1;Ana Beatriz Costa;467;BARRAS;255582.73;16
2025-06-01;1;Ana Beatriz Costa;457;PAÇOCA;158380.85;33
2025-06-01;1;Ana Beatriz Costa;456;BALA;208896.28;39
2025-06-01;1;Ana Beatriz Costa;450;PANINIS;226827.16;37
2025-06-01;1;Ana Beatriz Costa;642;QUEIJINHOS;94034.24;43
2025-06-01;1;Ana Beatriz Costa;681;LEITECONDENSADO;291368.43;27
2025-06-01;2;Carlos Eduardo Silva;1;PANE;203978.09;44
2025-06-01;2;Carlos Eduardo Silva;396;QUEIJO;243660.36;39
2025-06-01;2;Carlos Eduardo Silva;540;IOG;158893.62;47
2025-06-01;2;Carlos Eduardo Silva;449;BRINQUEDOS;117098.88;25
2025-06-01;2;Carlos Eduardo Silva;406;NUMBERONE;257682.75;15
2025-06-01;2;Carlos Eduardo Silva;467;BARRAS;119732.06;38
2025-06-01;2;Carlos Eduardo Silva;457;PAÇOCA;110965.86;39
2025-06-01;2;Carlos Eduardo Silva;456;BALA;192462.41;34
2025-06-01;2;Carlos Eduardo Silva;450;PANINIS;134099.15;41
2025-06-01;2;Carlos Eduardo Silva;642;QUEIJINHOS;262738.21;21
2025-06-01;2;Carlos Eduardo Silva;681;LEITECONDENSADO;171887.48;32
2025-06-01;3;Daniela Oliveira Santos;1;PANE;249458.09;31
2025-06-01;3;Daniela Oliveira Santos;396;QUEIJO;119914.62;48
2025-06-01;3;Daniela Oliveira Santos;540;IOG;225295.94;27
2025-06-01;3;Daniela Oliveira Santos;449;BRINQUEDOS;188947.76;43
2025-06-01;3;Daniela Oliveira Santos;406;NUMBERONE;287015.64;15
2025-06-01;3;Daniela Oliveira Santos;467;BARRAS;110339.01;36
2025-06-01;3;Daniela Oliveira Santos;457;PAÇOCA;172144.46;25
2025-06-01;3;Daniela Oliveira Santos;456;BALA;222652.33;41
2025-06-01;3;Daniela Oliveira Santos;450;PANINIS;162043.64;11
2025-06-01;3;Daniela Oliveira Santos;642;QUEIJINHOS;73263.34;24
2025-06-01;3;Daniela Oliveira Santos;681;LEITECONDENSADO;151100.28;25
2025-06-01;4;Eduardo Almeida Neto;1;PANE;126551.51;47
2025-06-01;4;Eduardo Almeida Neto;396;QUEIJO;142255.11;45
2025-06-01;4;Eduardo Almeida Neto;540;IOG;182730.48;37
2025-06-01;4;Eduardo Almeida Neto;449;BRINQUEDOS;299157.87;45
2025-06-01;4;Eduardo Almeida Neto;406;NUMBERONE;132697.82;39
2025-06-01;4;Eduardo Almeida Neto;467;BARRAS;117729.11;26
2025-06-01;4;Eduardo Almeida Neto;457;PAÇOCA;107634.51;22
2025-06-01;4;Eduardo Almeida Neto;456;BALA;128886.99;44
2025-06-01;4;Eduardo Almeida Neto;450;PANINIS;287719.39;21
2025-06-01;4;Eduardo Almeida Neto;642;QUEIJINHOS;97885.24;40
2025-06-01;4;Eduardo Almeida Neto;681;LEITECONDENSADO;119124.91;47
2025-06-01;5;Fernanda Lima Souza;1;PANE;294151.76;43
2025-06-01;5;Fernanda Lima Souza;396;QUEIJO;199197.69;16
2025-06-01;5;Fernanda Lima Souza;540;IOG;258157.09;28
2025-06-01;5;Fernanda Lima Souza;449;BRINQUEDOS;106870.79;21
2025-06-01;5;Fernanda Lima Souza;406;NUMBERONE;125566.9;44
2025-06-01;5;Fernanda Lima Souza;467;BARRAS;81645.74;12
2025-06-01;5;Fernanda Lima Souza;457;PAÇOCA;293573.73;45
2025-06-01;5;Fernanda Lima Souza;456;BALA;123034.16;18
2025-06-01;5;Fernanda Lima Souza;450;PANINIS;209467.41;41
2025-06-01;5;Fernanda Lima Souza;642;QUEIJINHOS;75646.91;10
2025-06-01;5;Fernanda Lima Souza;681;LEITECONDENSADO;193516.05;40
2025-06-01;6;Gabriel Barbosa Rocha;1;PANE;169678.55;31
2025-06-01;6;Gabriel Barbosa Rocha;396;QUEIJO;96090.92;13
2025-06-01;6;Gabriel Barbosa Rocha;540;IOG;113119.6;40
2025-06-01;6;Gabriel Barbosa Rocha;449;BRINQUEDOS;78521.79;14
2025-06-01;6;Gabriel Barbosa Rocha;406;NUMBERONE;150176.86;14
2025-06-01;6;Gabriel Barbosa Rocha;467;BARRAS;194255.29;13
2025-06-01;6;Gabriel Barbosa Rocha;457;PAÇOCA;87931.75;46
2025-06-01;6;Gabriel Barbosa Rocha;456;BALA;287281.41;15
2025-06-01;6;Gabriel Barbosa Rocha;450;PANINIS;298479.53;17
2025-06-01;6;Gabriel Barbosa Rocha;642;QUEIJINHOS;189518.26;36
2025-06-01;6;Gabriel Barbosa Rocha;681;LEITECONDENSADO;201579.41;49
2025-06-01;7;Helena Martins Dias;1;PANE;106421.78;43
2025-06-01;7;Helena Martins Dias;396;QUEIJO;145094.51;38
2025-06-01;7;Helena Martins Dias;540;IOG;124338.28;47
2025-06-01;7;Helena Martins Dias;449;BRINQUEDOS;297507.82;29
2025-06-01;7;Helena Martins Dias;406;NUMBERONE;192157.37;13
2025-06-01;7;Helena Martins Dias;467;BARRAS;202407.73;16
2025-06-01;7;Helena Martins Dias;457;PAÇOCA;286897.55;23
2025-06-01;7;Helena Martins Dias;456;BALA;206378.76;26
2025-06-01;7;Helena Martins Dias;450;PANINIS;215107.03;20
2025-06-01;7;Helena Martins Dias;642;QUEIJINHOS;109966.29;45
2025-06-01;7;Helena Martins Dias;681;LEITECONDENSADO;68766.22;10
2025-06-01;8;Igor Pereira Gomes;1;PANE;152129.39;48
2025-06-01;8;Igor Pereira Gomes;396;QUEIJO;167478.12;12
2025-06-01;8;Igor Pereira Gomes;540;IOG;107869.06;28
2025-06-01;8;Igor Pereira Gomes;449;BRINQUEDOS;225746.89;39
2025-06-01;8;Igor Pereira Gomes;406;NUMBERONE;67794.94;24
2025-06-01;8;Igor Pereira Gomes;467;BARRAS;280977.76;50
2025-06-01;8;Igor Pereira Gomes;457;PAÇOCA;197447.4;22
2025-06-01;8;Igor Pereira Gomes;456;BALA;156284.74;44
2025-06-01;8;Igor Pereira Gomes;450;PANINIS;106202.36;19
2025-06-01;8;Igor Pereira Gomes;642;QUEIJINHOS;277102.86;19
2025-06-01;8;Igor Pereira Gomes;681;LEITECONDENSADO;67852.46;20
2025-06-01;9;Julia Carvalho Ribeiro;1;PANE;248157.14;48
2025-06-01;9;Julia Carvalho Ribeiro;396;QUEIJO;237239.43;46
2025-06-01;9;Julia Carvalho Ribeiro;540;IOG;280298.13;38
2025-06-01;9;Julia Carvalho Ribeiro;449;BRINQUEDOS;81088.41;29
2025-06-01;9;Julia Carvalho Ribeiro;406;NUMBERONE;224933.42;27
2025-06-01;9;Julia Carvalho Ribeiro;467;BARRAS;175118.04;41
2025-06-01;9;Julia Carvalho Ribeiro;457;PAÇOCA;159439.72;48
2025-06-01;9;Julia Carvalho Ribeiro;456;BALA;59965.2;37
2025-06-01;9;Julia Carvalho Ribeiro;450;PANINIS;233633.48;48
2025-06-01;9;Julia Carvalho Ribeiro;642;QUEIJINHOS;112591.98;15
2025-06-01;9;Julia Carvalho Ribeiro;681;LEITECONDENSADO;107231.1;46
2025-06-01;10;Lucas Fernandes Teixeira;1;PANE;196780.73;11
2025-06-01;10;Lucas Fernandes Teixeira;396;QUEIJO;299893.1;27
2025-06-01;10;Lucas Fernandes Teixeira;540;IOG;194061.75;21
2025-06-01;10;Lucas Fernandes Teixeira;449;BRINQUEDOS;167625.21;38
2025-06-01;10;Lucas Fernandes Teixeira;406;NUMBERONE;279018.2;21
2025-06-01;10;Lucas Fernandes Teixeira;467;BARRAS;299236.37;37
2025-06-01;10;Lucas Fernandes Teixeira;457;PAÇOCA;208696.18;41
2025-06-01;10;Lucas Fernandes Teixeira;456;BALA;292263.81;40
2025-06-01;10;Lucas Fernandes Teixeira;450;PANINIS;136990.26;31
2025-06-01;10;Lucas Fernandes Teixeira;642;QUEIJINHOS;130264.56;16
2025-06-01;10;Lucas Fernandes Teixeira;681;LEITECONDENSADO;264433.27;31
2025-06-01;11;Mariana Campos Araujo;1;PANE;152911.27;41
2025-06-01;11;Mariana Campos Araujo;396;QUEIJO;122054.45;35
2025-06-01;11;Mariana Campos Araujo;540;IOG;253391.51;45
2025-06-01;11;Mariana Campos Araujo;449;BRINQUEDOS;59174.28;15
2025-06-01;11;Mariana Campos Araujo;406;NUMBERONE;128629.29;30
2025-06-01;11;Mariana Campos Araujo;467;BARRAS;78980.4;35
2025-06-01;11;Mariana Campos Araujo;457;PAÇOCA;266227.65;10
2025-06-01;11;Mariana Campos Araujo;456;BALA;214415.1;44
2025-06-01;11;Mariana Campos Araujo;450;PANINIS;165494.09;13
2025-06-01;11;Mariana Campos Araujo;642;QUEIJINHOS;96895.64;33
2025-06-01;11;Mariana Campos Araujo;681;LEITECONDENSADO;205658.47;41
2025-06-01;12;Nicolas Moreira Lopes;1;PANE;206352.19;13
2025-06-01;12;Nicolas Moreira Lopes;396;QUEIJO;100889.56;45
2025-06-01;12;Nicolas Moreira Lopes;540;IOG;82753.31;28
2025-06-01;12;Nicolas Moreira Lopes;449;BRINQUEDOS;159529.02;41
2025-06-01;12;Nicolas Moreira Lopes;406;NUMBERONE;80356.52;50
2025-06-01;12;Nicolas Moreira Lopes;467;BARRAS;202217.92;25
2025-06-01;12;Nicolas Moreira Lopes;457;PAÇOCA;227445.71;29
2025-06-01;12;Nicolas Moreira Lopes;456;BALA;187709.75;45
2025-06-01;12;Nicolas Moreira Lopes;450;PANINIS;151997.67;24
2025-06-01;12;Nicolas Moreira Lopes;642;QUEIJINHOS;298064.28;17
2025-06-01;12;Nicolas Moreira Lopes;681;LEITECONDENSADO;165361.97;17
2025-06-01;13;Patricia Azevedo Castro;1;PANE;211927.42;19
2025-06-01;13;Patricia Azevedo Castro;396;QUEIJO;174593.88;28
2025-06-01;13;Patricia Azevedo Castro;540;IOG;177218.0;27
2025-06-01;13;Patricia Azevedo Castro;449;BRINQUEDOS;153872.59;40
2025-06-01;13;Patricia Azevedo Castro;406;NUMBERONE;295061.16;25
2025-06-01;13;Patricia Azevedo Castro;467;BARRAS;164196.62;19
2025-06-01;13;Patricia Azevedo Castro;457;PAÇOCA;145896.5;48
2025-06-01;13;Patricia Azevedo Castro;456;BALA;177060.22;18
2025-06-01;13;Patricia Azevedo Castro;450;PANINIS;266006.73;27
2025-06-01;13;Patricia Azevedo Castro;642;QUEIJINHOS;243168.78;36
2025-06-01;13;Patricia Azevedo Castro;681;LEITECONDENSADO;134968.81;42
2025-06-01;14;Rafael Monteiro Cardoso;1;PANE;116793.17;10
2025-06-01;14;Rafael Monteiro Cardoso;396;QUEIJO;120709.75;29
2025-06-01;14;Rafael Monteiro Cardoso;540;IOG;259368.98;47
